HDFS,база данных,роль,группа,Вид учетной записи,учетная запись,YARN
/data/custom/rb/check/stg,custom_rb_check_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/cod/pa,custom_rb_cod,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/cod/pa,custom_rb_cod,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/cod/pa,custom_rb_cod,r_dc_custom_rb_cod_ro,g_dc_d_custom_rb_cod_ro,Пользователь,,
/data/custom/rb/cod/stg,custom_rb_cod_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/cod/stg,custom_rb_cod_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/crm/pa,custom_rb_crm,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/crm/pa,custom_rb_crm,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/crm/pa,custom_rb_crm,r_dc_custom_rb_crm_ro,g_dc_d_custom_rb_crm_ro,Пользователь,,
/data/custom/rb/crm/stg,custom_rb_crm_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/crm/stg,custom_rb_crm_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/dda/pa,custom_rb_dda,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/dda/pa,custom_rb_dda,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/dda/pa,custom_rb_dda,r_dc_custom_rb_dda_ro,g_dc_d_custom_rb_dda_ro,Пользователь,,
/data/custom/rb/dda/stg,custom_rb_dda_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/dda/stg,custom_rb_dda_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/depositary/pa,custom_rb_depositary,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/depositary/pa,custom_rb_depositary,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/depositary/pa,custom_rb_depositary,r_dc_custom_rb_depositary_ro,g_dc_d_custom_rb_depositary_ro,Пользователь,,
/data/custom/rb/depositary/stg,custom_rb_depositary_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/depositary/stg,custom_rb_depositary_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/diasoft_custody/pa,custom_rb_diasoft_custody,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/diasoft_custody/pa,custom_rb_diasoft_custody,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/diasoft_custody/pa,custom_rb_diasoft_custody,r_dc_custom_rb_diasoft_custody_ro,g_dc_d_custom_rb_diasoft_custody_ro,Пользователь,,
/data/custom/rb/diasoft_custody/stg,custom_rb_diasoft_custody_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/diasoft_custody/stg,custom_rb_diasoft_custody_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/eks/pa,custom_rb_eks,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/eks/pa,custom_rb_eks,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/eks/pa,custom_rb_eks,r_dc_custom_rb_eks_ro,g_dc_d_custom_rb_eks_ro,Пользователь,,
/data/custom/rb/eks/stg,custom_rb_eks_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
